experiment_id,campaign_partition,target_sbox,target_sbox_index,key_id,session_id,fault_model,timing_offset_samples,width_samples,strength,repeat,repeat_spacing_samples,plaintext_hex,healthy_ciphertext_hex,response_received,faulty_ciphertext_hex,ciphertext_equal,ciphertext_hamming_distance
19070,attack,S5,5,22,1,random_and_4,-2.165594684765111,1.4576281491054732,0.7960580239560802,1,4.61990107163917,a1ddcb18987e35d2,f2ebf630af496f16,True,f2ebf630af496f16,True,0
19071,attack,S5,5,23,7,random_and_4,9.900484310258856,17.44035466998449,1.722961964729686,4,5.875384327515402,118acc6171eae2ac,5e910d5ba0cabd81,False,,,-1
19074,attack,S5,5,22,1,random_and_4,-2.9833143668942115,1.3961165268044362,0.698255641158442,1,2.882638418797538,706d720b0a3a25d6,21da693d91b85efe,True,21da693d91b65efe,False,3
19075,attack,S0,0,23,7,random_and_2,4.651233742899673,7.657216642694836,1.1377163377913069,2,5.066779168570191,b2698c54b1c60d51,2c605ca6efaac605,True,2c605ca6efaacd05,False,3
19078,attack,S0,0,22,1,random_and_4,-1.4124096790438574,2.137414066497294,0.8059845843175154,1,4.704760453403077,7c27910689964999,9330d1f5a4c86ce9,True,9330d1f5a4c861e9,False,3
19081,attack,S0,0,22,3,random_and_4,1.116446523779658,3.224947570775363,0.7479268360989223,1,3.985495092041436,644455a6e21478b2,b11d68564001f098,True,b11d68564001f598,False,2
19089,attack,S5,5,22,0,random_and_4,-2.5403071222094646,0.9218783723650164,0.424306538957845,1,1.7279912020612818,da36158c9b5e3315,ff6928d7770f06fc,True,ff6928d7770a06fc,False,2
19091,attack,S0,0,22,4,random_and_4,-2.369521757412977,1.962690743863806,0.6526806524613138,1,2.043998493941851,06fe359732ee55c3,6673975142643830,True,6673975142643830,True,0
19095,attack,S0,0,22,5,random_and_2,7.833730614601796,3.7966882767184513,1.0132349186108265,1,3.0558913776997136,02e1daac572fd5df,a9ffb79296d589ed,True,a9ffb79296d589eb,False,2
19098,attack,S5,5,23,1,random_nibble,6.581460200267257,4.918914187945927,0.4368184508526268,1,2.2793051297345586,15df16a8f193c9ee,6f00888db8e05c2b,True,6f00888d98e05c2b,False,1
19105,attack,S0,0,23,0,random_and_4,-4.793085419543173,3.9568465705286338,0.5346733984312554,1,4.6563427449902886,d950d2924b60c60b,7d8613894bfc74bf,True,7d8613894bfc74bf,True,0
19109,attack,S5,5,22,7,random_and_4,3.33066047874474,2.29044915681683,0.9715104179472454,1,4.061883944831922,8c3ac6a2fbff27ad,e6b80da55ef142c2,True,e6b80da55ef142c2,True,0
19111,attack,S0,0,22,7,random_and_4,25.133470270500617,1.432176916063745,0.5231227643545185,1,2.8211131689898394,dd4ab0dd10705bb5,e70201c3ad64b578,True,e70201c3ad64b548,False,2
19114,attack,S0,0,22,7,random_and_4,-0.0524442082617429,3.771854131770848,1.020494357126886,1,2.547777628209688,852272915d97ed52,e7cfea97d63e4d75,True,e7cfea97d63e4d75,True,0
19117,attack,S5,5,23,3,random_and_4,1.026844301084242,3.009850325102502,0.5126160978080135,1,2.144036880009506,fa2c1e2c724e1e44,85abae5234881d7c,True,85abae5234881d7c,True,0
19122,attack,S5,5,23,3,random_and_4,1.9283982947993628,4.037816626421656,0.9498808897644206,2,4.649507747519979,d0b1394a6b4c213b,141c0642addc109f,True,141c0642adde109f,False,1
