pipeline,key_id,K32_0_guess,K32_5_guess,joint_guess_hex,joint_sei
random_raw,1,13,7,d7,0.0021472066143072644
random_raw,1,13,8,d8,0.00290676629642587
random_raw,1,13,9,d9,0.0023852775594489176
random_raw,1,13,10,da,0.0018297786874517284
random_raw,1,13,11,db,0.0017504217057378445
random_raw,1,13,12,dc,0.002595006725407039
random_raw,1,13,13,dd,0.0028274093147119856
random_raw,1,13,14,de,0.0026573586396108056
random_raw,1,13,15,df,0.0023059205777350325
random_raw,1,14,0,e0,0.002042320344651063
random_raw,1,14,1,e1,0.0026431660633418996
random_raw,1,14,2,e2,0.003255348493706148
random_raw,1,14,3,e3,0.0020253152771409454
random_raw,1,14,4,e4,0.0026658394866887238
random_raw,1,14,5,e5,0.0026658394866887238
random_raw,1,14,6,e6,0.0030682927510948498
random_raw,1,14,7,e7,0.002252049510609185
random_raw,1,14,8,e8,0.0030116091927277905
random_raw,1,14,9,e9,0.002490120455750838
random_raw,1,14,10,ea,0.0019346215837536488
random_raw,1,14,11,eb,0.001855264602039765
random_raw,1,14,12,ec,0.0026998496217089593
random_raw,1,14,13,ed,0.0029322522110139058
random_raw,1,14,14,ee,0.0027622015359127262
random_raw,1,14,15,ef,0.0024107634740369527
random_raw,1,15,0,f0,0.002394051351599441
random_raw,1,15,1,f1,0.0029948970702902773
random_raw,1,15,2,f2,0.0036070795006545257
random_raw,1,15,3,f3,0.002377046284089323
random_raw,1,15,4,f4,0.0030175704936371015
random_raw,1,15,5,f5,0.0030175704936371015
random_raw,1,15,6,f6,0.0034200237580432275
random_raw,1,15,7,f7,0.0026037805175575628
random_raw,1,15,8,f8,0.003363340199676168
random_raw,1,15,9,f9,0.0028418514626992156
random_raw,1,15,10,fa,0.0022863525907020265
random_raw,1,15,11,fb,0.0022069956089881427
random_raw,1,15,12,fc,0.003051580628657337
random_raw,1,15,13,fd,0.0032839832179622835
random_raw,1,15,14,fe,0.003113932542861104
random_raw,1,15,15,ff,0.0027624944809853304
random_threshold,0,0,0,00,0.028770762643912217
random_threshold,0,0,1,01,0.032925887297651835
random_threshold,0,0,2,02,0.032925887297651835
random_threshold,0,0,3,03,0.035695970400144904
random_threshold,0,0,4,04,0.026000679541419144
random_threshold,0,0,5,05,0.030155804195158755
random_threshold,0,0,6,06,0.050931427463856815
random_threshold,0,0,7,07,0.016305388682693385
random_threshold,0,0,8,08,0.0467763028101172
random_threshold,0,0,9,09,0.04816134436136374
random_threshold,0,0,10,0a,0.0356959704001449
random_threshold,0,0,11,0b,0.050931427463856815
random_threshold,0,0,12,0c,0.04954638591261028
random_threshold,0,0,13,0d,0.04816134436136374
random_threshold,0,0,14,0e,0.028770762643912217
random_threshold,0,0,15,0f,0.034310928848898366
random_threshold,0,1,0,10,0.04126555647981392
random_threshold,0,1,1,11,0.045420681133553534
random_threshold,0,1,2,12,0.045420681133553534
random_threshold,0,1,3,13,0.04819076423604661
random_threshold,0,1,4,14,0.03849547337732085
random_threshold,0,1,5,15,0.04265059803106046
random_threshold,0,1,6,16,0.06342622129975851
random_threshold,0,1,7,17,0.02880018251859509
random_threshold,0,1,8,18,0.059271096646018914
random_threshold,0,1,9,19,0.06065613819726545
random_threshold,0,1,10,1a,0.04819076423604661
random_threshold,0,1,11,1b,0.06342622129975851
random_threshold,0,1,12,1c,0.06204117974851199
random_threshold,0,1,13,1d,0.06065613819726544
random_threshold,0,1,14,1e,0.04126555647981392
random_threshold,0,1,15,1f,0.04680572268480007
random_threshold,0,2,0,20,0.032102707666819344
