experiment_id,category,category_id,sampling_regime,target_sbox,target_sbox_index,key_id,session_id,master_key_hex,round_key_32_hex,x31_hex,x32_hex,target_original_input,target_faulted_input,impacted_sboxes,impacted_sbox_count,target_impacted,off_target_impacted,changed_sbox_input_count,fault_effective,invalid_subtype,invalid_probability,global_jitter_samples,injection_jitter_samples,model_details_json
2375,off_target,3,neighbor_probe,S5,5,3,0,9a12785cf0bfd7f9169e,615424b1,3eb97049,d5c03070,9,9,S6,1,False,True,1,True,,0.0006878097548171608,-0.265900479183478,-0.0648757324635797,"{""S6"": {""and_mask"": 9}}"
2376,multi_hit,4,multi_probe,S0,0,4,0,19befa4e32aa4154e8eb,48e4d611,fadb0b67,aa7b9fc2,3,3,S1;S2,2,False,True,2,True,,0.10000670943463337,0.32482928586253224,0.13185692533292026,"{""S1"": {""and_mask"": 7, ""randomized_positions"": [1, 3]}, ""S2"": {""and_mask"": 14, ""randomized_positions"": [0, 3]}}"
2377,multi_hit,4,multi_probe,S5,5,4,0,19befa4e32aa4154e8eb,48e4d611,afdfb8de,659d0331,7,5,S1;S4;S5,3,True,True,3,True,,0.044681336652816726,0.09465793062652025,0.10717328959490276,"{""S1"": {""and_mask"": 13}, ""S4"": {""and_mask"": 1}, ""S5"": {""and_mask"": 13}}"
2378,invalid_reset,5,invalid_probe,S0,0,5,0,6ce416051079421e4d04,e3f442d9,a74faded,79613e1b,2,2,,0,False,False,0,False,reset,0.985,0.11130327544384762,-0.0681271855983525,{}
2379,invalid_reset,5,invalid_probe,S5,5,5,0,6ce416051079421e4d04,e3f442d9,f88da6c1,489c311b,6,6,,0,False,False,0,False,timeout,0.985,0.08188722446466287,0.14343100092041366,{}
2380,off_target,3,miss_probe,S0,0,6,0,b67736ff4c567a14112b,30e88f1f,693d703f,bf5b58be,1,1,S2,1,False,True,1,True,,0.0005,-0.10452523150396437,0.11043754887165796,"{""S2"": {""and_mask"": 8}}"
2381,missed,0,miss_probe,S5,5,6,0,b67736ff4c567a14112b,30e88f1f,23e15a34,c2518d48,11,11,,0,False,False,0,False,,0.0005,0.5880511495338725,-0.18857332474455143,{}
2382,missed,0,miss_probe,S0,0,7,0,b78b228f913a5cfcb7ec,5efdde13,8218695c,a0222176,5,5,,0,False,False,0,False,,0.0005,-0.4529436495387634,0.5520411477430187,{}
2383,missed,0,miss_probe,S5,5,7,0,b78b228f913a5cfcb7ec,5efdde13,6820f96b,e930ed47,12,12,,0,False,False,0,False,,0.0005,0.022664171099078798,0.37570210163219014,{}
2384,clean_target_effective,2,target_probe,S0,0,0,1,94be897446726719d350,124ec80a,98e2eced,fa37d329,3,1,S0,1,True,False,1,True,,0.0018722601233533535,-0.07341582499923019,0.17917920957650058,"{""S0"": {""and_mask"": 9}}"
2385,missed,0,target_probe,S5,5,0,1,94be897446726719d350,124ec80a,ce7821fb,3e52d4ab,1,1,,0,False,False,0,False,,0.0005,0.12209176916591995,-0.12970650050177518,{}
2386,clean_target_effective,2,target_probe,S0,0,1,1,454d5b2e2dc08ce40669,2bcb35b6,743ef063,dd00b26a,12,8,S0,1,True,False,1,True,,0.0005278993624638315,0.05443379258249486,-0.05219799115720001,"{""S0"": {""and_mask"": 11, ""randomized_positions"": [1, 2]}}"
2387,clean_target_effective,2,target_probe,S5,5,1,1,454d5b2e2dc08ce40669,2bcb35b6,b1f37fe8,cda78cb3,6,0,S5,1,True,False,1,True,,0.0005850686886286535,-0.3461747763593205,0.09604401087640961,"{""S5"": {""and_mask"": 9}}"
2388,missed,0,target_probe,S0,0,2,1,982fc83b7cc8e27ed3ed,c48bcaf1,04400fd8,830503c2,3,3,,0,False,False,0,False,,0.0005,-0.05184358856095324,0.14247436712425549,{}
2389,missed,0,target_probe,S5,5,2,1,982fc83b7cc8e27ed3ed,c48bcaf1,4c7f7ba9,e153cfee,13,13,,0,False,False,0,False,,0.0005,-0.5994334634892147,-0.4014938181042541,{}
2390,missed,0,target_probe,S0,0,3,1,9a12785cf0bfd7f9169e,615424b1,617e77a0,baa7362d,12,12,,0,False,False,0,False,,0.0005,-0.25503654852349017,0.17755995124813395,{}
2391,missed,0,target_probe,S5,5,3,1,9a12785cf0bfd7f9169e,615424b1,0c212074,b1e18bc4,11,11,,0,False,False,0,False,,0.0008396511712355157,-0.059354555220388266,-0.14040350173484978,{}
2392,missed,0,target_probe,S0,0,4,1,19befa4e32aa4154e8eb,48e4d611,2b006211,7f14aa98,9,9,,0,False,False,0,False,,0.000637045962700424,-0.19734183269824093,0.08751378851066255,{}
2393,missed,0,neighbor_probe,S5,5,4,1,19befa4e32aa4154e8eb,48e4d611,ff8a9967,f5b8f5c6,5,5,,0,False,False,0,False,,0.0006819957361307457,0.2615435290172877,0.18454014582783781,{}
2394,missed,0,neighbor_probe,S0,0,5,1,6ce416051079421e4d04,e3f442d9,406a004d,3eab158c,5,5,,0,False,False,0,False,,0.0005,0.32340566560231504,-0.025712362264962624,{}
2395,off_target,3,neighbor_probe,S5,5,5,1,6ce416051079421e4d04,e3f442d9,4d310ef4,93b92a04,4,4,S6,1,False,True,0,False,,0.0005,0.07894581232779005,-0.08892159639576122,"{""S6"": {""and_mask"": 13, ""randomized_positions"": [1, 3]}}"
2396,off_target,3,multi_probe,S0,0,6,1,b67736ff4c567a14112b,30e88f1f,f743e0e5,9d78fc21,14,14,S1,1,False,True,1,True,,0.03237124847715514,0.3469570890580391,0.0583666055823778,"{""S1"": {""and_mask"": 13}}"
2397,clean_target_effective,2,multi_probe,S5,5,6,1,b67736ff4c567a14112b,30e88f1f,82b5c790,1bf50dd6,1,0,S5,1,True,False,1,True,,0.014212285770573069,0.07547599106042381,0.13212950726778414,"{""S5"": {""and_mask"": 14}}"
2398,invalid_reset,5,invalid_probe,S0,0,7,1,b78b228f913a5cfcb7ec,5efdde13,3317d4ed,c7121d44,7,7,,0,False,False,0,False,reset,0.9697734246956577,-0.03361623744657557,0.2992804525943575,{}
2399,invalid_reset,5,invalid_probe,S5,5,7,1,b78b228f913a5cfcb7ec,5efdde13,5398af76,bf47b40c,11,11,,0,False,False,0,False,reset,0.985,-0.7132351378592411,-0.005889331776413504,{}
2400,missed,0,miss_probe,S0,0,0,2,94be897446726719d350,124ec80a,90dc43b3,2c752565,15,15,,0,False,False,0,False,,0.0005,0.6231456881652926,0.11125367626459513,{}
2401,missed,0,miss_probe,S5,5,0,2,94be897446726719d350,124ec80a,121c4618,abb6340e,15,15,,0,False,False,0,False,,0.0005,0.13908112020548766,-0.43679418242401713,{}
2402,missed,0,miss_probe,S0,0,1,2,454d5b2e2dc08ce40669,2bcb35b6,d48866de,075c7e6e,8,8,,0,False,False,0,False,,0.0005,0.2851827263939815,0.037961856753396944,{}
2403,missed,0,miss_probe,S5,5,1,2,454d5b2e2dc08ce40669,2bcb35b6,4541d959,32a21f74,6,6,,0,False,False,0,False,,0.0005,0.33465274997205174,0.1193151582441478,{}
2404,off_target,3,target_probe,S0,0,2,2,982fc83b7cc8e27ed3ed,c48bcaf1,6aa837ff,89d74caf,14,14,S6,1,False,True,1,True,,0.001171398645856304,0.7481737907148406,0.06022087374696714,"{""S6"": {""and_mask"": 14}}"
2405,clean_target_ineffective,1,target_probe,S5,5,2,2,982fc83b7cc8e27ed3ed,c48bcaf1,332fbf25,9a1e2fe4,9,9,S5,1,True,False,0,False,,0.0005,-0.15309102753173434,0.0077617621923136764,"{""S5"": {""and_mask"": 15}}"
2406,clean_target_effective,2,target_probe,S0,0,3,2,9a12785cf0bfd7f9169e,615424b1,fe301bba,81e201e7,6,4,S0,1,True,False,1,True,,0.0005,-0.34365122300851136,0.0214315859601385,"{""S0"": {""and_mask"": 4}}"
