batch_index,campaign_arm,target_sbox,objective,recommendation_candidate_id,recommendation_rank,selection_count,mean_public_objective_score,mean_p_clean_target_ineffective,mean_p_clean_target_effective
0,guided_explore,S0,SHFA,26506,12,17,0.001119904646275879,0.5384892804683493,0.30407561356627993
0,guided_explore,S0,SHFA,26580,9,10,0.000559407274968458,0.2987458698288395,0.4915462109951164
0,guided_explore,S0,SHFA,27705,11,14,0.0012913079061360915,0.3385113713017088,0.4668207956065723
0,guided_explore,S0,SHFA,28761,10,15,0.0007845661187746287,0.33530382467861464,0.39195497122411543
0,guided_explore,S0,SHFA,33154,8,9,0.0017928977496212213,0.347984902002629,0.5173399408021396
0,guided_explore,S0,SHFA,34557,6,10,0.0006483774902540088,0.23254654169272365,0.6271040727465771
0,guided_explore,S0,SHFA,34850,7,24,0.0010243699495230136,0.2944956110488766,0.5036264385289456
0,guided_explore,S0,SHFA,36640,5,19,0.0012073310747329937,0.2936962764113171,0.5424932033786717
0,guided_explore,S0,SHFA,36859,1,15,0.0008644989976818997,0.40975558828249514,0.4264464173139523
0,guided_explore,S0,SHFA,38406,4,24,0.0008807129549157419,0.2680110311615416,0.5848417582490357
0,guided_explore,S0,SIFA,1582,8,14,0.22243701269637356,0.22243701269637356,0.5244619791497563
0,guided_explore,S0,SIFA,18096,5,23,0.34593738592291623,0.34593738592291623,0.4463154003233356
0,guided_explore,S0,SIFA,21001,6,14,0.1693565274440431,0.1693565274440431,0.6144651674558984
0,guided_explore,S0,SIFA,21535,1,31,0.38829755618581535,0.38829755618581535,0.42566332711616733
0,guided_explore,S0,SIFA,21962,12,5,0.42039047898355786,0.42039047898355786,0.373540116239519
0,guided_explore,S0,SIFA,26864,4,23,0.4225526576372089,0.4225526576372089,0.3742617099392839
0,guided_explore,S0,SIFA,28774,10,12,0.13260083501128012,0.13260083501128012,0.678032816173009
0,guided_explore,S0,SIFA,32639,7,13,0.3664757684620671,0.3664757684620671,0.41539153777997007
0,guided_explore,S0,SIFA,33075,2,28,0.35363932829032946,0.35363932829032946,0.41074419749608054
0,guided_explore,S0,SIFA,34472,9,14,0.4092524740608202,0.4092524740608202,0.32895982492656844
0,guided_explore,S0,SIFA,35321,3,18,0.16998575064318056,0.16998575064318056,0.5970600779917663
0,guided_explore,S0,SIFA,37522,11,15,0.4349673980348516,0.4349673980348516,0.3798295192900919
0,guided_explore,S5,SEFA,23724,11,7,0.22910334423214224,0.46086535468897655,0.22910334423214224
0,guided_explore,S5,SEFA,25893,6,14,0.4766769493223297,0.301847596769709,0.4766769493223297
0,guided_explore,S5,SEFA,25923,9,15,0.5803457197929965,0.23305822989385863,0.5803457197929965
0,guided_explore,S5,SEFA,26925,12,19,0.5220813242138815,0.25683794899547346,0.5220813242138815
0,guided_explore,S5,SEFA,27487,10,11,0.5656659151556945,0.2287208937113205,0.5656659151556945
0,guided_explore,S5,SEFA,27826,2,21,0.5723051405624788,0.26895223602376434,0.5723051405624788
0,guided_explore,S5,SEFA,28643,1,25,0.49470334121152737,0.323429069415597,0.49470334121152737
0,guided_explore,S5,SEFA,30997,3,25,0.4358248989126463,0.3715917358278899,0.4358248989126463
0,guided_explore,S5,SEFA,32379,4,22,0.4454920381898575,0.362760037810868,0.4454920381898575
0,guided_explore,S5,SEFA,33242,5,22,0.4886897018208521,0.3482750910541109,0.4886897018208521
0,guided_explore,S5,SEFA,37635,8,16,0.5376522888695721,0.2967402650619716,0.5376522888695721
0,guided_explore,S5,SEFA,38454,7,13,0.564034880910336,0.24079881174922496,0.564034880910336
0,guided_explore,S5,SHFA,20241,11,8,0.000712551282690425,0.08281019512077589,0.7768743070366034
0,guided_explore,S5,SHFA,20281,7,12,0.0007570909492905734,0.3866256980909674,0.39414839635888327
0,guided_explore,S5,SHFA,20926,9,20,0.0010525910222487745,0.24806499422239225,0.567260359396238
