rank,score,first_center_sample,spacing_samples,mean_center_specificity,minimum_center_specificity,mean_prominence
210,1.4181056837319364,4107,6,1.9102749769377358,-0.6997713246918835,-1.607871061604477
211,0.9204689862216037,4074,8,1.034502734256606,-0.606482443374671,-0.41277910040100063
212,0.8862979976034909,4101,7,1.5097439587166823,-0.16110202546932462,-3.2243058559640847
213,0.8093773659324786,4075,8,1.1002506965356242,-0.9937178037052365,-1.604269211165544
214,0.8009356079718815,4077,5,1.04026013688944,-1.373075912516856,-0.8137898899056902
215,0.7954711494268474,4087,10,1.9973120370782456,-0.2718654062187723,-7.122570709095026
216,0.7447840402277167,4070,10,1.862368553593338,-0.5055840322748987,-6.546107236407153
217,0.6580395676094297,4077,7,1.1971249346139836,-2.0286751626036397,-2.7537016303379254
218,0.6398762275148038,4070,9,0.6983183262176407,-1.4844124177225941,0.057005745328659985
219,0.6086455331768428,4077,8,1.5185304462343414,-1.4844124177225941,-5.223820214595753
220,0.6009961845905017,4076,5,0.7383649820031343,-1.3148807584410445,-0.43190636592982606
221,0.5937350366531432,4094,8,1.828909935567343,-0.37038141816306774,-7.299360810564975
222,0.5879628553794323,4102,7,0.9935176954487025,-0.49394441277802326,-2.1586352142976386
223,0.5712602013047805,4073,8,0.630597463327661,-1.060458975754346,-0.03689321032560944
224,0.5645300634034729,4087,11,1.300414377465331,-1.9226827262429884,-3.923836368306665
225,0.5419368495160285,4077,6,0.8996695970575577,-1.6254235085175905,-1.5941859862646237
226,0.505944447881099,4108,6,0.8915991513426023,-1.2269983359848846,-1.5658385154345789
227,0.5046793864779618,4064,6,0.43424892779248925,-0.38887876567572116,0.6127048197507619
228,0.5002031515820397,4065,6,0.4281801675372066,-0.11611549596478554,0.5921423247130648
229,0.4533027487300464,4069,9,0.47509832579935635,-1.5752439587722664,0.3071189009067275
230,0.4085114815034756,4066,10,0.579078713772578,-1.0067376378979287,-0.7366951547920643
231,0.39696707249443847,4071,9,0.5866005674334918,-1.1255647174188803,-0.9568446498349851
232,0.3948515714193392,4076,8,0.989329027282033,-1.5752439587722664,-3.4896697599716484
233,0.39251982312536726,4075,9,1.9203263101480497,1.0241313357658965,-9.9549451518621
234,0.36223001046073444,4090,10,0.6703446675178963,-0.28797717331756373,-1.8022548668538254
235,0.3529997014987641,4065,10,0.4391981952219204,-1.6254235085175905,-0.20020962996157882
236,0.3356048434576571,4103,7,0.5921803823662086,-0.6997713246918835,-1.330605494100607
237,0.32137361143407783,4072,6,0.31711257383824226,-1.439331477965521,0.3801954396748645
238,0.295646750199799,4099,10,0.2372568524632546,-1.4783122862181473,0.8140618505375379
239,0.27376008605750185,4088,10,1.1518386029982393,-0.20872630291757796,-5.367107609012624
240,0.25419635451360095,4089,10,0.8146828713884466,0.034557040670205846,-3.4231564073593272
241,0.2374105030743012,4087,12,0.9132882067827082,-3.103086737333837,-3.457970775348557
242,0.2013038298154604,4066,6,0.187921557910418,-0.29104844254295925,0.22327569312727202
243,0.19469334422810974,4075,5,0.3022038394385814,-1.439331477965521,-0.38408409811364264
244,0.1817730689255432,4068,5,0.17118812988327398,-0.6513749295029172,0.2511410087829363
245,0.17261327700920331,4064,7,0.1729175272396314,-1.7609107782118116,0.2824786185489095
246,0.16748561507684057,4092,9,0.6333451311834701,-0.36536573442950343,-2.9332043619782273
247,0.16217554498545897,4093,9,0.375427520159089,-0.3443623591375776,-1.2499792083941155
248,0.1581865985903356,4069,10,0.9890510777861496,-0.6390013329041222,-5.000403229591584
249,0.14740263335699286,4071,6,0.14923902507953982,-1.2649501318251655,0.27848925856030543
250,0.1270321594122371,4067,10,0.46139517576354705,-0.6794031277459477,-1.9260340263882685
