campaign_arm,key_id,target_sbox,target_sbox_index,top_fraction,key_guess,key_guess_hex,sample_count,sei,chi
random_uniform,1,S5,5,0.1,3,3,59,0.016500287273771907,15.57627118644068
random_uniform,1,S5,5,0.1,4,4,59,0.011903906923297902,11.23728813559322
random_uniform,1,S5,5,0.1,5,5,59,0.029714880781384664,28.050847457627125
random_uniform,1,S5,5,0.1,6,6,59,0.018798477449008907,17.74576271186441
random_uniform,1,S5,5,0.1,7,7,59,0.030289428325193914,28.593220338983055
random_uniform,1,S5,5,0.1,8,8,59,0.016500287273771903,15.576271186440676
random_uniform,1,S5,5,0.1,9,9,59,0.017649382361390405,16.661016949152543
random_uniform,1,S5,5,0.1,10,a,59,0.011329359379488651,10.694915254237287
random_uniform,1,S5,5,0.1,11,b,59,0.013053002010916403,12.322033898305085
random_uniform,1,S5,5,0.1,12,c,59,0.019947572536627406,18.83050847457627
random_uniform,1,S5,5,0.1,13,d,59,0.02741669060614766,25.88135593220339
random_uniform,1,S5,5,0.1,14,e,59,0.026842143062338408,25.338983050847457
random_uniform,1,S5,5,0.1,15,f,59,0.009031169204251652,8.52542372881356
random_uniform,1,S5,5,0.15,0,0,89,0.01084932458022977,15.449438202247192
random_uniform,1,S5,5,0.15,1,1,89,0.007061923999495013,10.0561797752809
random_uniform,1,S5,5,0.15,2,2,89,0.011101817952278752,15.808988764044944
random_uniform,1,S5,5,0.15,3,3,89,0.008324390859739933,11.853932584269664
random_uniform,1,S5,5,0.15,4,4,89,0.00680943062744603,9.696629213483147
random_uniform,1,S5,5,0.15,5,5,89,0.015899192021209443,22.640449438202246
random_uniform,1,S5,5,0.15,6,6,89,0.0088293776038379,12.573033707865168
random_uniform,1,S5,5,0.15,7,7,89,0.013626751672768589,19.40449438202247
random_uniform,1,S5,5,0.15,8,8,89,0.009839351092033835,14.011235955056181
random_uniform,1,S5,5,0.15,9,9,89,0.013121764928670622,18.685393258426966
random_uniform,1,S5,5,0.15,10,a,89,0.01084932458022977,15.449438202247192
random_uniform,1,S5,5,0.15,11,b,89,0.013121764928670622,18.685393258426966
random_uniform,1,S5,5,0.15,12,c,89,0.009081870975886882,12.93258426966292
random_uniform,1,S5,5,0.15,13,d,89,0.022211526322434037,31.629213483146067
random_uniform,1,S5,5,0.15,14,e,89,0.01564669864916046,22.280898876404493
random_uniform,1,S5,5,0.15,15,f,89,0.005294470395152127,7.539325842696629
random_uniform,1,S5,5,0.2,0,0,119,0.010164359861591697,19.35294117647059
random_uniform,1,S5,5,0.2,1,1,119,0.007198467622343056,13.705882352941178
random_uniform,1,S5,5,0.2,2,2,119,0.010023126897817952,19.08403361344538
random_uniform,1,S5,5,0.2,3,3,119,0.009316962078949227,17.73949579831933
random_uniform,1,S5,5,0.2,4,4,119,0.005362439093284373,10.210084033613446
